method,mae,rmse,kendall_tau,top3_accuracy,bias_Direct,bias_Display,bias_Email,bias_Organic Search,bias_Paid Search,bias_Referral,bias_Social
CAMTA (Causal Attention),0.0228344928473234,0.0324381850659847,0.9047619047619048,1.0,0.0135180801153182,0.0056403987109661,0.0037345588207244,-0.0623834803700447,0.0541245937347412,-0.0175372250378131,0.0029031261801719
LSTM+Attention (LOO),0.027909965440653,0.0297766392175399,1.0,1.0,0.0301651845541198,-0.0104084412079327,0.0453847380811099,-0.0364015064191117,0.022134956407056,-0.0223282893366941,-0.0285466420785471
Incremental Shapley,0.0287667120320336,0.0298424016469858,0.9047619047619048,0.6666666666666666,-0.0334597961801722,0.0361854832183668,-0.0289039672564319,0.0191603185964255,-0.0383197286755133,0.0299600582803816,0.0153776320169437
Shapley (model-based),0.0346517570763823,0.0358070544009928,0.9047619047619048,0.6666666666666666,-0.0380148949010025,-0.0464385799888415,0.0442469458515345,0.0247210879953858,0.0324735578025848,0.019839558117833,-0.0368276748774939
Last Click,0.0378342296600468,0.0446256504415814,0.8095238095238096,1.0,0.080337796400072,-0.0279614196509238,-0.0347474739273457,-0.0549812310018721,0.047261092265894,-0.0147296792300221,0.0048209151441979
LSTM+Attention (attn weights),0.0434474349021911,0.0512076467275619,0.8095238095238096,1.0,0.0793264508247375,-0.0212104469537735,-0.0743529945611953,-0.0519772693514823,0.0553037226200103,-0.0045253112912178,0.0174358375370502
Time Decay (7.0d),0.0436930894063956,0.0532584413161603,0.8095238095238096,1.0,0.0167626224223162,0.0307615988111897,-0.04504117681765,0.0290953290336855,-0.1078846361047345,0.013634707849071,0.0626715548061221
DML,0.0504116862417482,0.0599282294225726,0.5238095238095238,0.6666666666666666,-0.0983318949247255,0.0828564433084217,-0.0094383445653167,-0.0577421889110259,0.0283030795485926,0.0652813789891046,-0.0109284734450504
Linear,0.0564211855615596,0.0701027836103791,0.4285714285714286,0.6666666666666666,-0.0014093506882367,0.0486730043676529,-0.0569967514621951,0.0562257541898715,-0.1390680473150269,0.0147063253952332,0.0778690655127012
Markov (order=2),0.0610054363778662,0.0743234660677955,0.5238095238095238,0.6666666666666666,-0.0039292602160206,0.0588136110470016,-0.070944005255762,0.0370310246911139,-0.1386457618507492,0.0224865688366617,0.0951878227477548
Position-Based (40%/40%),0.0651492422008367,0.0758290887011189,0.3333333333333333,0.6666666666666666,0.0072997478579402,0.0500072227114916,-0.0676805356482089,0.0934122447113049,-0.1328933927582477,-0.0274484192964718,0.0773031324221917
Markov (order=1),0.0657727026855373,0.0798411226295089,0.3333333333333333,0.6666666666666666,-0.0046817410553327,0.0668726378916816,-0.0800400654193682,0.0401518142364767,-0.1454826529246798,0.0206148527219694,0.102565154549253
IPW,0.0737711560122903,0.0808517908942003,0.3333333333333333,0.3333333333333333,-0.1224479929559839,0.1000989021424928,-0.0731976733194257,0.098474400585274,-0.0625533797676062,0.030074160014265,0.0295515833009843
Doubly Robust,0.0782042593910682,0.092401752229398,0.7200822998230957,1.0,0.0721937703848525,-0.060065541125978,0.1710883195535089,-0.1317708188543667,-0.0450508730109001,0.0304328179303774,-0.0368276748774939
Transformer (2L/2H),0.1002934575080871,0.1114255562424659,-0.3333333333333333,0.0,-0.092294156551361,0.1014249473810195,-0.066757708787918,0.082285463809967,-0.1919752955436706,0.0287723913788795,0.1385442018508911
First Click,0.158404635841671,0.1820213172147873,-0.2927700218845599,0.0,-0.05718931856739,0.1312576692861694,-0.1063309880271288,0.2725675759395595,-0.3110903177124139,-0.0798056011389158,0.1505909802201199
Survival/Poisson (BackElim),0.0454820590498322,0.0618182066012095,1.0,1.0,0.0212005555549161,-0.0335212678706836,-0.0139993187814488,-0.0717058733921104,0.1379866511194967,-0.020626897935481,-0.0193338486946889
Survival/Poisson (Shapley),0.016220168153559887,0.018461691022230144,0.9047619047619049,0.6666666666666666,-0.01819363065536153,0.017628428029502034,-0.02362961469645039,0.007354314782108268,-0.009646834026329987,0.03178784572584936,-0.0053005091593176235
