variant,method,mae,kendall_tau
Full (baseline),Last Click,0.0342768416441701,0.7142857142857143
Full (baseline),Linear,0.0556258869286406,0.6190476190476191
Full (baseline),Time Decay,0.0447973322896295,0.9047619047619048
Full (baseline),Markov (2nd),0.0655535774236816,0.4285714285714286
Full (baseline),Shapley (model),0.0609386971167275,0.8095238095238096
Full (baseline),IPW,0.0710642267406024,0.4285714285714286
Full (baseline),DML,0.0597517877854736,0.6190476190476191
No interactions (δ=0),Last Click,0.0348244914146402,0.7142857142857143
No interactions (δ=0),Linear,0.0540685338651633,0.4285714285714286
No interactions (δ=0),Time Decay,0.0436685667960405,0.7142857142857143
No interactions (δ=0),Markov (2nd),0.0669373592408716,0.5238095238095238
No interactions (δ=0),Shapley (model),0.0648554768087191,0.6831300510639733
No interactions (δ=0),IPW,0.063035480554097,0.5238095238095238
No interactions (δ=0),DML,0.0773886434581994,0.6831300510639733
No decay (half_life=1000d),Last Click,0.0465700888250931,0.9047619047619048
No decay (half_life=1000d),Linear,0.0479111652090706,0.6190476190476191
No decay (half_life=1000d),Time Decay,0.028352891515286,0.9047619047619048
No decay (half_life=1000d),Markov (2nd),0.0517414564464516,0.6190476190476191
No decay (half_life=1000d),Shapley (model),0.020227521377221,1.0
No decay (half_life=1000d),IPW,0.0505600870715881,0.5238095238095238
No decay (half_life=1000d),DML,0.0445942776462471,0.4285714285714286
No heterogeneity (η=0),Last Click,0.0380946343866159,0.8095238095238096
No heterogeneity (η=0),Linear,0.0552568727510384,0.5238095238095238
No heterogeneity (η=0),Time Decay,0.0432819114032132,0.7142857142857143
No heterogeneity (η=0),Markov (2nd),0.0612905522091921,0.5238095238095238
No heterogeneity (η=0),Shapley (model),0.0447496270714062,0.6190476190476191
No heterogeneity (η=0),IPW,0.0657192234601308,0.4285714285714286
No heterogeneity (η=0),DML,0.0438544251956895,0.5238095238095238
Full (baseline),Survival/Poisson,0.046736197764823,0.9047619047619048
No interactions (δ=0),Survival/Poisson,0.0471753907036427,0.9047619047619048
No decay (half_life=1000d),Survival/Poisson,0.0431234904368231,0.9047619047619048
No heterogeneity (η=0),Survival/Poisson,0.0465729803259308,0.9047619047619048
Full (baseline),Survival/Poisson (Shapley),0.022645472126964442,0.9047619047619049
No interactions (δ=0),Survival/Poisson (Shapley),0.026745718992586733,0.8095238095238096
No decay (half_life=1000d),Survival/Poisson (Shapley),0.021534284490704863,0.8095238095238096
No heterogeneity (η=0),Survival/Poisson (Shapley),0.022720276904358315,0.9047619047619049
